Priority Class: 2 | Queue Time: 171.73913717269897
Priority Class: 2 | Queue Time: 192.40788412094116
Priority Class: 2 | Queue Time: 169.47768998146057
Priority Class: 2 | Queue Time: 114.89194536209106
Priority Class: 2 | Queue Time: 160.38983511924744
Priority Class: 2 | Queue Time: 135.6950807571411
Priority Class: 2 | Queue Time: 97.67467188835144
Priority Class: 2 | Queue Time: 155.78483510017395
Priority Class: 2 | Queue Time: 164.2008101940155
Priority Class: 2 | Queue Time: 178.42589902877808
Priority Class: 2 | Queue Time: 89.25768804550171
Priority Class: 2 | Queue Time: 189.8741900920868
Priority Class: 2 | Queue Time: 117.61500906944275
Priority Class: 2 | Queue Time: 126.40208578109741
Priority Class: 2 | Queue Time: 99.17743182182312
Priority Class: 2 | Queue Time: 137.47932600975037
Priority Class: 2 | Queue Time: 94.0707859992981
Priority Class: 2 | Queue Time: 164.41059398651123
Priority Class: 2 | Queue Time: 176.79749298095703
Priority Class: 2 | Queue Time: 206.4953157901764
Priority Class: 2 | Queue Time: 216.3580391407013
Priority Class: 2 | Queue Time: 206.4229519367218
Priority Class: 2 | Queue Time: 98.52077507972717
Priority Class: 2 | Queue Time: 107.66565108299255
Priority Class: 2 | Queue Time: 166.130215883255
Priority Class: 2 | Queue Time: 130.9909107685089
Priority Class: 2 | Queue Time: 166.77602624893188
Priority Class: 2 | Queue Time: 150.35299491882324
Priority Class: 2 | Queue Time: 203.4566831588745
Priority Class: 2 | Queue Time: 136.96462512016296
Priority Class: 2 | Queue Time: 219.58514213562012
Priority Class: 2 | Queue Time: 153.45196104049683
Priority Class: 2 | Queue Time: 133.06726574897766
Priority Class: 2 | Queue Time: 133.93079495429993
Priority Class: 2 | Queue Time: 163.2410180568695
Priority Class: 2 | Queue Time: 129.5336890220642
Priority Class: 2 | Queue Time: 199.56646394729614
Priority Class: 2 | Queue Time: 177.69819903373718
Priority Class: 2 | Queue Time: 223.96434998512268
Priority Class: 2 | Queue Time: 194.949853181839
Priority Class: 2 | Queue Time: 160.85115814208984
Priority Class: 2 | Queue Time: 157.03454184532166
Priority Class: 2 | Queue Time: 125.49886107444763
Priority Class: 2 | Queue Time: 185.40035462379456
Priority Class: 2 | Queue Time: 188.0649540424347
Priority Class: 2 | Queue Time: 161.56711864471436
