Priority Class: 3 | Queue Time: 20.985150575637817
Priority Class: 3 | Queue Time: 24.830082654953003
Priority Class: 3 | Queue Time: 22.946191787719727
Priority Class: 3 | Queue Time: 23.129819631576538
Priority Class: 3 | Queue Time: 23.311300039291382
Priority Class: 3 | Queue Time: 24.921347856521606
Priority Class: 3 | Queue Time: 24.151990175247192
Priority Class: 3 | Queue Time: 29.75562596321106
Priority Class: 3 | Queue Time: 32.50208139419556
Priority Class: 3 | Queue Time: 30.91696286201477
Priority Class: 3 | Queue Time: 28.221778631210327
Priority Class: 3 | Queue Time: 28.881657600402832
Priority Class: 3 | Queue Time: 30.1811580657959
Priority Class: 3 | Queue Time: 33.71863293647766
Priority Class: 3 | Queue Time: 30.06574583053589
Priority Class: 3 | Queue Time: 34.23912024497986
Priority Class: 3 | Queue Time: 32.50401020050049
Priority Class: 3 | Queue Time: 31.40901017189026
Priority Class: 3 | Queue Time: 30.802409410476685
Priority Class: 3 | Queue Time: 37.52635955810547
Priority Class: 3 | Queue Time: 35.1469841003418
Priority Class: 3 | Queue Time: 37.08713388442993
Priority Class: 3 | Queue Time: 35.98931431770325
Priority Class: 3 | Queue Time: 38.405787229537964
Priority Class: 3 | Queue Time: 40.190996170043945
Priority Class: 3 | Queue Time: 38.45356225967407
Priority Class: 3 | Queue Time: 38.79518795013428
Priority Class: 3 | Queue Time: 34.34957218170166
Priority Class: 3 | Queue Time: 41.06976652145386
Priority Class: 3 | Queue Time: 40.13420915603638
Priority Class: 3 | Queue Time: 37.60301995277405
Priority Class: 3 | Queue Time: 39.53869915008545
Priority Class: 3 | Queue Time: 41.31817865371704
Priority Class: 3 | Queue Time: 38.789865255355835
Priority Class: 3 | Queue Time: 40.562949895858765
Priority Class: 3 | Queue Time: 39.00068187713623
Priority Class: 3 | Queue Time: 42.84323263168335
Priority Class: 3 | Queue Time: 43.18427777290344
Priority Class: 3 | Queue Time: 42.72639179229736
Priority Class: 3 | Queue Time: 44.984373569488525
Priority Class: 3 | Queue Time: 47.40425992012024
Priority Class: 3 | Queue Time: 41.20422124862671
Priority Class: 3 | Queue Time: 47.12850522994995
Priority Class: 3 | Queue Time: 49.227630376815796
Priority Class: 1 | Queue Time: 0.13028740882873535
Priority Class: 2 | Queue Time: 0.2712123394012451
Priority Class: 1 | Queue Time: 0.12160801887512207
Priority Class: 2 | Queue Time: 0.9131412506103516
Priority Class: 1 | Queue Time: 0.11314535140991211
Priority Class: 2 | Queue Time: 1.1928884983062744
Priority Class: 2 | Queue Time: 1.3352603912353516
Priority Class: 2 | Queue Time: 3.6381635665893555
Priority Class: 2 | Queue Time: 3.0568199157714844
Priority Class: 3 | Queue Time: 3.362734079360962
Priority Class: 3 | Queue Time: 4.822616815567017
Priority Class: 3 | Queue Time: 4.843353509902954
Priority Class: 3 | Queue Time: 5.983917236328125
Priority Class: 3 | Queue Time: 5.206641435623169
Priority Class: 1 | Queue Time: 0.437025785446167
Priority Class: 2 | Queue Time: 0.5802757740020752
Priority Class: 1 | Queue Time: 0.4291207790374756
Priority Class: 2 | Queue Time: 0.14322423934936523
Priority Class: 1 | Queue Time: 0.42035365104675293
Priority Class: 2 | Queue Time: 0.06356000900268555
Priority Class: 1 | Queue Time: 0.40770411491394043
Priority Class: 2 | Queue Time: 0.7073452472686768
Priority Class: 1 | Queue Time: 0.3984367847442627
Priority Class: 2 | Queue Time: 0.6267132759094238
Priority Class: 1 | Queue Time: 0.39192724227905273
Priority Class: 2 | Queue Time: 0.9060986042022705
Priority Class: 1 | Queue Time: 0.38344764709472656
Priority Class: 2 | Queue Time: 1.1817116737365723
Priority Class: 1 | Queue Time: 0.37480950355529785
Priority Class: 2 | Queue Time: 2.549560785293579
Priority Class: 1 | Queue Time: 0.36557555198669434
Priority Class: 2 | Queue Time: 2.1073050498962402
Priority Class: 1 | Queue Time: 0.35677003860473633
Priority Class: 2 | Queue Time: 0.5917868614196777
Priority Class: 1 | Queue Time: 0.3479480743408203
Priority Class: 2 | Queue Time: 0.8738577365875244
Priority Class: 1 | Queue Time: 0.33860254287719727
Priority Class: 2 | Queue Time: 0.7939186096191406
Priority Class: 1 | Queue Time: 0.33046793937683105
Priority Class: 2 | Queue Time: 1.4365856647491455
Priority Class: 1 | Queue Time: 0.3218832015991211
Priority Class: 2 | Queue Time: 3.5183990001678467
Priority Class: 1 | Queue Time: 0.31339287757873535
Priority Class: 2 | Queue Time: 5.241389989852905
Priority Class: 2 | Queue Time: 10.783947944641113
Priority Class: 2 | Queue Time: 13.810130596160889
Priority Class: 2 | Queue Time: 8.543903350830078
Priority Class: 2 | Queue Time: 9.404340982437134
Priority Class: 2 | Queue Time: 11.34208345413208
Priority Class: 2 | Queue Time: 6.08650016784668
Priority Class: 2 | Queue Time: 17.393771171569824
Priority Class: 2 | Queue Time: 17.53569197654724
Priority Class: 2 | Queue Time: 15.518742799758911
Priority Class: 2 | Queue Time: 9.169403791427612
Priority Class: 2 | Queue Time: 11.47269058227539
Priority Class: 2 | Queue Time: 18.46092915534973
Priority Class: 2 | Queue Time: 12.83439564704895
Priority Class: 2 | Queue Time: 15.49136233329773
Priority Class: 2 | Queue Time: 18.883054971694946
